Alabama,16,14,2,9
Alaska,1,16,0,3
Arizona,9,20,0,11
Arkansas,20,11,1,6
California,16,15,1,54
Colorado,14,18,0,10
Connecticut,16,16,0,7
Delaware,16,16,0,3
District of Columbia,16,0,0,3
Florida,17,15,0,30
Georgia,20,11,1,16
Hawaii,15,2,0,4
Idaho,9,23,0,4
Illinois,17,15,0,19
Indiana,5,27,0,11
Iowa,11,21,0,6
Kansas,5,27,0,6
Kentucky,16,16,0,8
Louisiana,17,13,2,8
Maine,12,20,0,4
Maryland,22,10,0,10
Massachusetts,22,10,0,11
Michigan,13,18,1,15
Minnesota,21,10,1,10
Mississippi,16,14,2,6
Missouri,14,18,0,10
Montana,10,22,0,4
Nebraska,6,26,0,5
Nevada,17,15,0,6
New Hampshire,14,18,0,4
New Jersey,16,16,0,14
New Mexico,17,12,0,5
New York,19,13,0,28
North Carolina,18,14,0,16
North Dakota,5,27,0,3
Ohio,12,20,0,17
Oklahoma,10,20,0,7
Oregon,16,16,0,8
Pennsylvania,14,17,1,19
Rhode Island,22,10,0,4
South Carolina,16,15,1,9
South Dakota,3,28,1,3
Tennessee,15,17,0,11
Texas,16,16,0,40
Utah,7,25,0,6
Vermont,10,22,0,3
Virginia,18,14,0,13
Washington,18,13,1,12
West Virginia,15,17,0,4
Wisconsin,15,16,1,10
Wyoming,7,25,0,3
